Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
25-Mar-21,14570.9,14575.6,14264.4,14324.9,606820996,35350.22
26-Mar-21,14506.3,14572.9,14414.25,14507.3,481000845,29423.45
30-Mar-21,14628.5,14876.3,14617.6,14845.1,594520567,35117.93
31-Mar-21,14811.85,14813.75,14670.25,14690.7,436874691,29741.83
01-Apr-21,14798.4,14883.2,14692.45,14867.35,430028476,29585.23
05-Apr-21,14837.7,14849.85,14459.5,14637.8,500476690,33885.39
06-Apr-21,14737,14779.1,14573.9,14683.5,474211156,31885.97
07-Apr-21,14716.45,14879.8,14649.85,14819.05,476382016,35184.96
08-Apr-21,14875.65,14984.15,14821.1,14873.8,503728173,34444.56
09-Apr-21,14882.65,14918.45,14785.65,14834.85,498347599,35010.36
12-Apr-21,14644.65,14652.5,14248.7,14310.8,638475842,43433.24
13-Apr-21,14364.9,14528.9,14274.9,14504.8,588666016,40846.57
15-Apr-21,14522.4,14597.55,14353.2,14581.45,556851211,40177.25
16-Apr-21,14599.6,14697.7,14559,14617.85,568568743,36653.65
19-Apr-21,14306.6,14382.3,14191.4,14359.45,503142904,34751.95
20-Apr-21,14526.7,14526.95,14207.3,14296.4,456704716,34687.11
22-Apr-21,14219.15,14424.75,14151.4,14406.15,516985252,37235.71
23-Apr-21,14326.35,14461.15,14273.3,14341.35,476613608,31894.66
26-Apr-21,14449.45,14557.5,14421.3,14485,448533329,33156.16
27-Apr-21,14493.8,14667.55,14484.85,14653.05,442211685,32181.14
28-Apr-21,14710.5,14890.25,14694.95,14864.55,453990807,37650.11
29-Apr-21,14979,15044.35,14814.45,14894.9,511466673,41597.37
30-Apr-21,14747.35,14855.45,14601.7,14631.1,594744498,40335.86
03-May-21,14481.05,14673.85,14416.25,14634.15,443410846,32538.97
04-May-21,14687.25,14723.4,14461.5,14496.5,479657079,34024.77
05-May-21,14604.15,14637.9,14506.6,14617.85,437261063,28942.47
06-May-21,14668.35,14743.9,14611.5,14724.8,445281496,31015.95
07-May-21,14816.85,14863.05,14765.5,14823.15,483677266,33583.37
10-May-21,14928.25,14966.9,14892.5,14942.35,510598577,31620.64
11-May-21,14789.7,14900,14771.4,14850.75,616204478,32955.82
12-May-21,14823.55,14824.05,14649.7,14696.5,620318215,32035.23
14-May-21,14749.4,14749.65,14591.9,14677.8,602738614,39176.28
17-May-21,14756.25,14938,14725.35,14923.15,534516176,35571.28
18-May-21,15067.2,15137.25,15043.7,15108.1,571923125,35634.73
19-May-21,15058.6,15133.4,15008.85,15030.15,563293717,31100.21
20-May-21,15042.6,15069.8,14884.9,14906.05,467455658,28002.53
21-May-21,14987.8,15190,14985.85,15175.3,557730470,31921.76
24-May-21,15211.35,15256.25,15145.45,15197.7,566722866,32061.04
25-May-21,15291.75,15293.85,15163.4,15208.45,417323446,26871.99
26-May-21,15257.05,15319.9,15194.95,15301.45,377682051,26187.83
27-May-21,15323.95,15384.55,15272.5,15337.85,682374351,48219.93
28-May-21,15421.2,15469.65,15394.75,15435.65,455582440,32992.08
31-May-21,15437.75,15606.35,15374,15582.8,435999456,32739.29
01-Jun-21,15629.65,15660.75,15528.3,15574.85,409562322,27964.09
02-Jun-21,15520.35,15597.45,15459.85,15576.2,428641666,28781.87
03-Jun-21,15655.55,15705.1,15611,15690.35,410240584,27519.48
04-Jun-21,15712.5,15733.6,15622.35,15670.25,414162241,25363.03
07-Jun-21,15725.1,15773.45,15678.1,15751.65,393970049,25411.48
08-Jun-21,15773.9,15778.8,15680,15740.1,378164658,24172.13
09-Jun-21,15766.3,15800.45,15566.9,15635.35,457855735,26926.49
10-Jun-21,15692.1,15751.25,15648.5,15737.75,298297041,23032.9
11-Jun-21,15796.45,15835.55,15749.8,15799.35,363011297,24591.69
14-Jun-21,15791.4,15823.05,15606.5,15811.85,392862037,28001.5
15-Jun-21,15866.95,15901.6,15842.4,15869.25,323262818,22181.26
16-Jun-21,15847.5,15880.85,15742.6,15767.55,340191175,22505.95
17-Jun-21,15648.3,15769.35,15616.75,15691.4,357649243,26048.47
18-Jun-21,15756.5,15761.5,15450.9,15683.35,640821642,42024.55
21-Jun-21,15525.85,15765.15,15505.65,15746.5,351530072,22525.89
22-Jun-21,15840.5,15895.75,15752.1,15772.75,322237561,24440.47
23-Jun-21,15862.8,15862.95,15673.95,15686.95,287536735,23222.94
24-Jun-21,15737.3,15821.4,15702.7,15790.45,316662241,29623.58
25-Jun-21,15839.35,15870.8,15772.3,15860.35,314614380,26933.22
28-Jun-21,15915.35,15915.65,15792.15,15814.7,255099272,18713.41
29-Jun-21,15807.5,15835.9,15724.05,15748.45,360334724,24392.13
30-Jun-21,15776.9,15839.1,15708.75,15721.5,262386323,20379.76
01-Jul-21,15755.05,15755.55,15667.05,15680,224921644,17359.97
02-Jul-21,15705.85,15738.35,15635.95,15722.2,254808999,18015.42
05-Jul-21,15793.4,15845.95,15762.05,15834.35,207032153,14976.54
06-Jul-21,15813.75,15914.2,15801,15818.25,391410742,24456.05
07-Jul-21,15819.6,15893.55,15779.7,15879.65,329308646,22259.96
08-Jul-21,15855.4,15885.75,15682.9,15727.9,307928495,19597.95
09-Jul-21,15688.25,15730.85,15632.75,15689.8,243249366,19976.86
12-Jul-21,15766.8,15789.2,15644.75,15692.6,216272488,18482.89
13-Jul-21,15794,15820.8,15744.6,15812.35,246676549,18205.97
14-Jul-21,15808.7,15877.35,15764.2,15853.95,239924352,18372.84
15-Jul-21,15872.15,15952.35,15855,15924.2,284851049,20961.37
16-Jul-21,15958.35,15962.25,15882.6,15923.4,276298105,18758.13
19-Jul-21,15754.5,15836.9,15707.5,15752.4,242131813,18088.78
20-Jul-21,15703.95,15728.45,15578.55,15632.1,274284165,21329.55
22-Jul-21,15736.6,15834.8,15726.4,15824.05,265250867,23988.39
23-Jul-21,15856.8,15899.8,15768.4,15856.05,294098244,20685.82
26-Jul-21,15849.3,15893.35,15797,15824.45,267076679,19487.18
27-Jul-21,15860.5,15881.55,15701,15746.45,311012065,26117.34
28-Jul-21,15761.55,15767.5,15513.45,15709.4,318601589,26090.48
29-Jul-21,15762.7,15817.35,15737.8,15778.45,401584915,29460.54
30-Jul-21,15800.6,15862.8,15744.85,15763.05,400021237,30539.63
02-Aug-21,15874.9,15892.9,15834.65,15885.15,244847433,20766.99
03-Aug-21,15951.55,16146.9,15914.35,16130.75,341289658,26373.24
04-Aug-21,16195.25,16290.2,16176.15,16258.8,427337644,32434.78
05-Aug-21,16288.95,16349.45,16210.3,16294.6,418174517,31386.78
06-Aug-21,16304.4,16336.75,16223.3,16238.2,320087281,24716.17
09-Aug-21,16281.35,16320.75,16179.05,16258.25,240452917,18302.03
10-Aug-21,16274.8,16359.25,16202.25,16280.1,287989486,22600.38
11-Aug-21,16327.3,16338.75,16162.55,16282.25,277895886,20306.59
12-Aug-21,16303.65,16375.5,16286.9,16364.4,280181324,18548.87
13-Aug-21,16385.7,16543.6,16376.3,16529.1,321866286,27163.08
16-Aug-21,16518.4,16589.4,16480.75,16563.05,254049330,21456.2
17-Aug-21,16545.25,16628.55,16495.4,16614.6,297388470,25696.44
18-Aug-21,16691.95,16701.85,16535.85,16568.85,251796822,22721.54
20-Aug-21,16382.5,16509.55,16376.05,16450.5,350819323,30118.23
23-Aug-21,16592.25,16592.5,16395.7,16496.45,275597782,24355.77
24-Aug-21,16561.4,16647.1,16495.3,16624.6,275362819,24992.32
25-Aug-21,16654,16712.45,16617.5,16634.65,265920141,22210.6
26-Aug-21,16627.95,16683.7,16603.4,16636.9,253530997,22320.21
27-Aug-21,16642.55,16722.05,16565.6,16705.2,217405743,20499.85
30-Aug-21,16775.85,16951.5,16764.85,16931.05,283483108,23615.87
31-Aug-21,16947.5,17153.5,16915.85,17132.2,464390247,40147.89
01-Sep-21,17185.6,17225.75,17055.05,17076.25,301894634,27691.93
02-Sep-21,17095.4,17245.5,17059.7,17234.15,242377518,22620.36
03-Sep-21,17262.45,17340.1,17212.2,17323.6,261373795,23579.17
06-Sep-21,17399.35,17429.55,17345.55,17377.8,228045532,21270.62
07-Sep-21,17401.55,17436.5,17287,17362.1,243417811,19848.94
08-Sep-21,17375.75,17383.4,17254.2,17353.5,252652423,22696.35
09-Sep-21,17312.85,17379.65,17302.7,17369.25,241509352,17719.78
13-Sep-21,17363.55,17378.35,17269.15,17355.3,241053924,18498.63
14-Sep-21,17420.35,17438.55,17367.05,17380,230354386,18702.82
15-Sep-21,17387.65,17532.7,17386.9,17519.45,388191629,24256.8
16-Sep-21,17539.2,17644.6,17510.45,17629.5,503310763,30189.77
17-Sep-21,17709.65,17792.95,17537.65,17585.15,508285916,43345.58
20-Sep-21,17443.85,17622.75,17361.8,17396.9,339102046,25304.27
21-Sep-21,17450.5,17578.35,17326.1,17562,363578479,26520.99
22-Sep-21,17580.9,17610.45,17524,17546.65,295191136,21772.23
23-Sep-21,17670.85,17843.9,17646.55,17822.95,320514486,25005.36
